trade_id,market_id,question,direction,entry_price,true_prob_entry,net_edge_entry,entry_timestamp,end_date,closing_price,clv,outcome,close_timestamp,days_held,time_value_baseline,clv_adjusted,strategy_label,entry_is_approx,entry_note
474cfcf2bd,2070736,Will Switzerland advance to the knockout stages at the 2026 FIFA World Cup?,YES,1.0,0.0,0.0,2026-06-24T17:29:33.384336+00:00,2026-06-28,0.9995,-0.0005,MISSED_LINE,2026-06-24T21:11:42.186831+00:00,0.154,2.2e-05,-0.0005,A_all,0,
46b4c12fb7,2070738,Will Bosnia and Herzegovina advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.7038,0.0,0.0,2026-06-24T17:29:33.385924+00:00,2026-06-28,0.99,0.2862,BEAT_LINE,2026-06-24T21:11:42.189878+00:00,0.154,2.2e-05,0.2862,A_all,0,
8e386b94e8,2070735,Will Canada advance to the knockout stages at the 2026 FIFA World Cup?,YES,1.0,0.0,0.0,2026-06-24T17:29:33.387525+00:00,2026-06-28,0.9995,-0.0005,MISSED_LINE,2026-06-24T21:11:42.192853+00:00,0.154,2.2e-05,-0.0005,A_all,0,
696a4e43da,2070737,Will Qatar advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.1953,0.0,0.0,2026-06-24T17:29:33.388967+00:00,2026-06-28,0.0005,-0.1948,MISSED_LINE,2026-06-24T21:11:42.195303+00:00,0.154,2.2e-05,-0.1948,A_all,0,
6504127e94,2070737,Will Qatar advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.1953,0.0,0.0,2026-06-24T17:29:33.390466+00:00,2026-06-28,0.0005,-0.1948,MISSED_LINE,2026-06-24T21:11:42.197722+00:00,0.154,2.2e-05,-0.1948,B_discount,0,
f82cc2f792,2070740,Will Morocco advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.999,0.0,0.0,2026-06-24T21:11:42.199289+00:00,2026-06-28,0.9995,0.0005,BEAT_LINE,2026-06-24T22:50:12.472891+00:00,0.068,1e-05,0.0005,A_all,0,
64a1eb5566,2070742,Will Haiti advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.001,0.0,0.0,2026-06-24T21:11:42.200736+00:00,2026-06-28,0.0005,-0.0005,MISSED_LINE,2026-06-24T22:50:12.475781+00:00,0.068,1e-05,-0.0005,A_all,0,
7ecf364824,2070742,Will Haiti advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.001,0.0,0.0,2026-06-24T21:11:42.201903+00:00,2026-06-28,0.0005,-0.0005,MISSED_LINE,2026-06-24T22:50:12.478562+00:00,0.068,1e-05,-0.0005,B_discount,0,
24e917cad6,2070739,Will Brazil advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.999,0.0,0.0,2026-06-24T21:11:42.203726+00:00,2026-06-28,0.9995,0.0005,BEAT_LINE,2026-06-24T22:50:12.483980+00:00,0.068,1e-05,0.0005,A_all,0,
3028783cf8,2070741,Will Scotland advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.7536,0.0,0.0,2026-06-24T21:11:42.205197+00:00,2026-06-28,,,PENDING,,,,,A_all,0,
8b49a30d80,2070741,Will Scotland advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.7536,0.0,0.0,2026-06-24T22:50:12.487385+00:00,2026-06-28,,,PENDING,,,,,C_uncertain,1,approx entry: backfilled from scan @ 2026-06-24T21:11:26.103666+00:00 (T-1h window missed)
3ab3520820,2070732,Will South Korea advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.94,0.0,0.0,2026-06-25T00:20:10.849508+00:00,2026-06-28,,,PENDING,,,,,A_all,0,
26303ce978,2070734,Will Czechia advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.24,0.0,0.0,2026-06-25T00:20:10.850809+00:00,2026-06-28,0.0005,-0.2395,MISSED_LINE,2026-06-25T04:48:29.701190+00:00,0.186,2.7e-05,-0.2395,A_all,0,
059b2a4d0d,2070734,Will Czechia advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.24,0.0,0.0,2026-06-25T00:20:10.851915+00:00,2026-06-28,0.0005,-0.2395,MISSED_LINE,2026-06-25T04:48:29.711046+00:00,0.186,2.7e-05,-0.2395,B_discount,0,
7499746e61,2070731,Will Mexico advance to the knockout stages at the 2026 FIFA World Cup?,YES,1.0,0.0,0.0,2026-06-25T00:20:10.853544+00:00,2026-06-28,0.9995,-0.0005,MISSED_LINE,2026-06-25T04:48:29.713153+00:00,0.186,2.7e-05,-0.0005,A_all,0,
ab301555ec,2070733,Will South Africa advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.1489,0.0,0.0,2026-06-25T00:20:10.854559+00:00,2026-06-28,0.9995,0.8506,BEAT_LINE,2026-06-25T04:48:29.715231+00:00,0.186,2.7e-05,0.8506,A_all,0,
940fc01aa9,2070733,Will South Africa advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.1489,0.0,0.0,2026-06-25T00:20:10.856009+00:00,2026-06-28,0.9995,0.8506,BEAT_LINE,2026-06-25T04:48:29.717249+00:00,0.186,2.7e-05,0.8506,B_discount,0,
998d565aab,2070741,Will Scotland advance to the knockout stages at the 2026 FIFA World Cup?,YES,0.6623,0.0,0.0,2026-06-25T00:20:10.858092+00:00,2026-06-28,,,PENDING,,,,,B_discount,1,approx entry: backfilled from scan @ 2026-06-24T22:49:50.548350+00:00 (T-1h window missed)
